12.74, 7.00
7.00, 61.10
7.00, 111.96
7.00, 166.78
7.00, 219.25
7.00, 275.54
30.48, 49.61
31.64, 103.72
30.68, 155.65
31.12, 207.60
32.80, 259.14
54.22, 9.27
52.96, 88.88
54.49, 144.88
55.69, 196.83
57.01, 248.15
76.45, 22.72
76.27, 77.40
77.76, 133.34
78.96, 185.28
80.52, 237.09
98.83, 9.52
100.47, 67.94
99.97, 119.85
101.17, 171.80
102.81, 223.73
112.80, 272.63
123.14, 55.25
122.74, 107.34
123.94, 159.29
125.59, 211.25
151.32, 7.00
145.43, 68.59
145.97, 120.55
147.14, 172.50
149.42, 225.85
138.73, 276.20
166.75, 53.75
168.79, 106.18
169.62, 158.51
170.87, 211.16
169.19, 266.21
189.77, 7.00
190.00, 65.36
191.38, 119.01
192.36, 171.07
192.78, 225.12
191.81, 279.00
213.10, 53.48
213.82, 105.91
214.74, 157.87
214.73, 211.22
216.26, 270.21
235.58, 40.06
236.20, 92.62
237.06, 144.57
237.12, 197.64
236.14, 253.46
257.16, 25.60
258.61, 79.47
259.47, 131.43
259.47, 184.27
258.77, 238.62
263.00, 293.00
283.00, 40.00
283.00, 92.00
283.00, 144.00
283.00, 196.00
283.00, 248.00
37.54, 293.00
116.99, 30.01
212.76, 27.64
240.29, 280.07
52.85, 62.83
30.43, 75.95
122.80, 81.36
123.34, 133.31
124.52, 185.29
142.03, 36.95
147.59, 251.78
171.69, 240.29
168.67, 80.20
191.81, 145.00
258.76, 51.79
258.98, 105.45
259.84, 210.25
259.83, 157.46
192.82, 197.26
191.46, 92.69
194.72, 253.18
81.36, 264.00
74.94, 103.35
30.48, 129.67
52.34, 222.59
78.36, 159.31
189.58, 39.38
99.13, 93.89
236.56, 118.60
31.44, 181.62
72.05, 293.00
234.19, 12.19
237.56, 223.62
100.57, 145.83
96.69, 42.24
7.00, 248.11
261.09, 264.50
126.06, 237.23
236.37, 66.03
215.09, 183.88
145.47, 94.58
54.13, 118.90
237.40, 170.57
8.14, 193.30
169.10, 132.38
146.57, 146.53
8.42, 35.16
275.30, 7.00
170.15, 184.55
148.21, 198.46
213.81, 79.45
214.24, 131.89
28.74, 233.47
215.60, 237.55
283.00, 222.02
32.63, 23.72
103.23, 249.71
281.73, 118.03
282.58, 170.02
125.33, 7.00
280.76, 65.88
101.74, 197.78
77.89, 211.24
7.00, 140.80
55.09, 170.86
160.70, 290.76
283.00, 278.46
7.00, 86.90
166.34, 27.78
54.80, 273.58
76.00, 51.42
101.53, 293.00
23.31, 283.32
