0.67, 0.53
1.95, 51.79
0.16, 103.68
0.32, 157.31
0.64, 213.46
26.06, 42.11
23.78, 92.12
23.43, 144.04
22.05, 198.74
55.21, 0.21
55.27, 52.02
48.66, 132.07
44.18, 185.13
81.07, 2.66
78.82, 88.22
73.09, 140.92
69.01, 192.79
73.00, 246.66
73.00, 299.00
96.61, 23.48
102.54, 98.81
96.78, 151.58
92.76, 203.33
96.92, 256.12
116.67, 6.97
120.93, 142.00
115.65, 191.05
123.38, 254.88
124.79, 299.00
135.43, 24.94
136.84, 77.97
143.10, 128.46
147.12, 180.24
138.66, 231.51
150.77, 299.00
158.71, 36.47
158.43, 92.42
170.68, 145.35
168.00, 196.93
164.60, 274.39
184.86, 1.02
181.65, 50.60
188.42, 102.11
194.02, 157.26
187.65, 260.00
210.49, 5.39
206.17, 59.86
212.68, 111.41
204.42, 181.09
214.32, 299.00
229.77, 22.80
233.13, 74.53
235.03, 127.78
230.26, 183.94
235.82, 284.41
255.46, 33.27
257.79, 85.91
257.21, 141.32
254.57, 193.11
256.03, 244.08
257.32, 299.00
284.00, 25.26
282.04, 76.55
281.74, 128.46
278.33, 181.38
283.34, 234.87
280.26, 286.79
45.77, 106.26
164.93, 248.34
42.80, 214.37
70.47, 26.59
94.60, 123.66
77.54, 273.42
146.28, 154.27
211.64, 270.07
45.43, 157.85
92.16, 229.31
93.56, 177.36
257.69, 115.06
185.37, 76.31
252.00, 166.78
226.25, 158.27
254.75, 60.11
274.04, 210.61
22.63, 118.07
137.89, 52.01
209.63, 85.61
206.25, 33.88
257.46, 270.03
111.80, 276.79
175.21, 299.00
111.16, 45.01
190.05, 128.04
124.09, 167.79
31.89, 67.43
229.67, 48.78
68.41, 218.76
26.71, 4.22
154.55, 6.42
268.54, 4.37
22.69, 170.53
137.78, 276.50
236.18, 100.33
163.00, 222.43
69.83, 166.80
53.72, 81.52
85.34, 47.90
70.88, 113.07
166.48, 117.12
280.42, 102.48
172.15, 171.29
279.07, 155.36
134.73, 103.86
233.98, 258.00
5.66, 26.03
278.98, 50.75
2.08, 77.77
142.97, 205.89
0.45, 183.96
281.74, 260.80
161.16, 66.58
98.81, 299.00
0.29, 131.33
44.62, 23.93
242.87, 0.36
192.06, 285.60
118.62, 214.96
181.92, 24.79
249.43, 218.95
210.87, 137.33
113.02, 235.73
