region,trial,m,m_from_filename,uncovered_area,overlap_percentage,ocr_success,filename,filepath
0,4,45,45,32.659093,6.52,True,m_45_trial_4.png,Results/region_0/trial_4/m_45_trial_4.png
0,4,46,46,28.182283,7.09,True,m_46_trial_4.png,Results/region_0/trial_4/m_46_trial_4.png
0,4,47,47,25.276184,7.93,True,m_47_trial_4.png,Results/region_0/trial_4/m_47_trial_4.png
0,4,48,48,21.741834,8.51,True,m_48_trial_4.png,Results/region_0/trial_4/m_48_trial_4.png
0,4,49,49,18.544617,9.5,True,m_49_trial_4.png,Results/region_0/trial_4/m_49_trial_4.png
0,4,50,50,13.962754,9.71,True,m_50_trial_4.png,Results/region_0/trial_4/m_50_trial_4.png
0,4,51,51,11.397081,10.28,True,m_51_trial_4.png,Results/region_0/trial_4/m_51_trial_4.png
0,4,52,52,9.012673,10.81,True,m_52_trial_4.png,Results/region_0/trial_4/m_52_trial_4.png
0,4,53,53,7.531498,11.88,True,m_53_trial_4.png,Results/region_0/trial_4/m_53_trial_4.png
0,4,54,54,6.166068,12.64,True,m_54_trial_4.png,Results/region_0/trial_4/m_54_trial_4.png
0,4,55,55,5.030822,13.25,True,m_55_trial_4.png,Results/region_0/trial_4/m_55_trial_4.png
0,5,42,42,49.648436,5.09,True,m_42_trial_5.png,Results/region_0/trial_5/m_42_trial_5.png
0,5,43,43,44.190901,5.35,True,m_43_trial_5.png,Results/region_0/trial_5/m_43_trial_5.png
0,5,44,44,38.246336,5.81,True,m_44_trial_5.png,Results/region_0/trial_5/m_44_trial_5.png
0,5,45,45,32.71894,6.56,True,m_45_trial_5.png,Results/region_0/trial_5/m_45_trial_5.png
0,5,46,46,28.181163,7.07,True,m_46_trial_5.png,Results/region_0/trial_5/m_46_trial_5.png
0,5,47,47,24.585312,7.69,True,m_47_trial_5.png,Results/region_0/trial_5/m_47_trial_5.png
0,5,48,48,21.277579,8.56,True,m_48_trial_5.png,Results/region_0/trial_5/m_48_trial_5.png
0,5,49,49,18.57256,9.47,True,m_49_trial_5.png,Results/region_0/trial_5/m_49_trial_5.png
0,5,50,50,14.178764,10.0,True,m_50_trial_5.png,Results/region_0/trial_5/m_50_trial_5.png
0,5,51,51,11.379631,10.28,True,m_51_trial_5.png,Results/region_0/trial_5/m_51_trial_5.png
0,5,52,52,9.010657,10.77,True,m_52_trial_5.png,Results/region_0/trial_5/m_52_trial_5.png
