REGION 0 - SUCCESSFUL EXTRACTIONS (140 images):
Trial | M  | Uncovered Area | Overlap % | Filename
    6 | 55 |      4.896695 |    14.03% | m_55_trial_6.png
    7 | 42 |     49.500645 |     4.72% | m_42_trial_7.png
    7 | 43 |     43.452583 |     5.17% | m_43_trial_7.png
    7 | 44 |     38.159657 |     6.00% | m_44_trial_7.png
    7 | 45 |     32.947861 |     6.47% | m_45_trial_7.png
    7 | 46 |     28.508774 |     7.11% | m_46_trial_7.png
    7 | 47 |     24.925937 |     7.95% | m_47_trial_7.png
    7 | 48 |     21.307452 |     8.48% | m_48_trial_7.png
    7 | 49 |     18.628239 |     9.51% | m_49_trial_7.png
    7 | 50 |     14.705982 |    10.29% | m_50_trial_7.png
    7 | 51 |     11.638683 |    10.65% | m_51_trial_7.png
    7 | 52 |      9.004702 |    10.88% | m_52_trial_7.png
    7 | 53 |      7.585374 |    11.77% | m_53_trial_7.png
    7 | 54 |      6.148492 |    12.63% | m_54_trial_7.png
    7 | 55 |      4.510071 |    13.04% | m_55_trial_7.png
    8 | 42 |     49.517646 |     4.67% | m_42_trial_8.png
    8 | 43 |     43.471025 |     5.15% | m_43_trial_8.png
    8 | 44 |     38.066122 |     5.95% | m_44_trial_8.png
    8 | 45 |     32.666346 |     6.51% | m_45_trial_8.png
    8 | 46 |     28.166488 |     7.08% | m_46_trial_8.png
    8 | 47 |     24.579004 |     7.69% | m_47_trial_8.png
    8 | 48 |     21.259786 |     8.55% | m_48_trial_8.png
    8 | 49 |     18.544732 |     9.47% | m_49_trial_8.png
    8 | 50 |     13.930190 |     9.75% | m_50_trial_8.png
    8 | 51 |     11.400975 |    10.28% | m_51_trial_8.png
    8 | 52 |      9.053606 |    10.70% | m_52_trial_8.png
    8 | 53 |      7.498774 |    11.87% | m_53_trial_8.png
    8 | 54 |      6.166464 |    12.61% | m_54_trial_8.png
    8 | 55 |      4.518941 |    13.20% | m_55_trial_8.png
    9 | 42 |     49.533889 |     4.96% | m_42_trial_9.png
    9 | 43 |     43.309576 |     5.16% | m_43_trial_9.png
    9 | 44 |     37.545554 |     5.68% | m_44_trial_9.png
    9 | 45 |     32.490237 |     6.34% | m_45_trial_9.png
    9 | 46 |     28.205392 |     7.07% | m_46_trial_9.png
    9 | 47 |     25.267522 |     7.94% | m_47_trial_9.png
    9 | 48 |     21.285608 |     8.54% | m_48_trial_9.png
    9 | 49 |     18.544495 |     9.49% | m_49_trial_9.png
    9 | 50 |     14.209310 |    10.09% | m_50_trial_9.png
    9 | 51 |     11.405522 |    10.27% | m_51_trial_9.png
    9 | 52 |      8.992740 |    10.78% | m_52_trial_9.png
    9 | 53 |      7.507747 |    11.80% | m_53_trial_9.png
    9 | 54 |      5.581898 |    12.58% | m_54_trial_9.png
    9 | 55 |      4.302981 |    12.97% | m_55_trial_9.png

REGION 1 - SUCCESSFUL EXTRACTIONS (113 images):
Trial | M  | Uncovered Area | Overlap % | Filename
------------------------------------------------------------
    0 | 22 |     36.422998 |     5.04% | m_22_trial_0.png
    0 | 23 |     28.670995 |     5.32% | m_23_trial_0.png
    0 | 24 |     23.051712 |     5.79% | m_24_trial_0.png
    0 | 25 |     18.758069 |     6.95% | m_25_trial_0.png
    0 | 26 |     14.471266 |     7.00% | m_26_trial_0.png
    0 | 27 |     11.875774 |     6.80% | m_27_trial_0.png
    0 | 28 |      9.683996 |     7.23% | m_28_trial_0.png
    0 | 29 |      8.287134 |     9.01% | m_29_trial_0.png
    0 | 30 |      5.786800 |    10.76% | m_30_trial_0.png
    0 | 31 |      4.073247 |    11.28% | m_31_trial_0.png
    0 | 32 |      2.594306 |    11.92% | m_32_trial_0.png
    1 | 22 |     36.413111 |     5.00% | m_22_trial_1.png
    1 | 23 |     28.714932 |     5.49% | m_23_trial_1.png
    1 | 24 |     22.948385 |     5.84% | m_24_trial_1.png
    1 | 25 |     18.891134 |     6.71% | m_25_trial_1.png
    1 | 26 |     14.407170 |     6.84% | m_26_trial_1.png
    1 | 27 |     11.854979 |     6.65% | m_27_trial_1.png
    1 | 28 |      9.672845 |     7.05% | m_28_trial_1.png
    1 | 29 |      7.054638 |     8.95% | m_29_trial_1.png
    1 | 30 |      5.372298 |     9.55% | m_30_trial_1.png
    1 | 31 |      3.597576 |    10.53% | m_31_trial_1.png
    1 | 32 |      2.316887 |    11.22% | m_32_trial_1.png
    2 | 22 |     36.425934 |     4.98% | m_22_trial_2.png
    2 | 23 |     28.715110 |     5.38% | m_23_trial_2.png
    2 | 24 |     22.960749 |     5.75% | m_24_trial_2.png
    2 | 25 |     18.016166 |     6.35% | m_25_trial_2.png
    2 | 26 |     15.484340 |     6.27% | m_26_trial_2.png
    2 | 27 |     11.855218 |     6.70% | m_27_trial_2.png
    2 | 28 |      9.666278 |     7.15% | m_28_trial_2.png
    2 | 29 |      8.515783 |     7.99% | m_29_trial_2.png
    2 | 30 |      5.211059 |    10.06% | m_30_trial_2.png
    2 | 31 |      3.629165 |    10.69% | m_31_trial_2.png
    2 | 32 |      2.844112 |    11.70% | m_32_trial_2.png
    2 | 33 |      1.989124 |    12.95% | m_33_trial_2.png
    3 | 22 |     36.422125 |     4.78% | m_22_trial_3.png
    3 | 23 |     28.688212 |     5.31% | m_23_trial_3.png
    3 | 24 |     22.941389 |     5.78% | m_24_trial_3.png
    3 | 25 |     18.027959 |     6.29% | m_25_trial_3.png
    3 | 26 |     14.389806 |     6.81% | m_26_trial_3.png
    3 | 27 |     11.842582 |     6.70% | m_27_trial_3.png
    3 | 28 |      9.672204 |     7.11% | m_28_trial_3.png
    3 | 29 |      7.714438 |     8.48% | m_29_trial_3.png
    3 | 30 |      5.036170 |     9.56% | m_30_trial_3.png
    3 | 31 |      3.547053 |    10.31% | m_31_trial_3.png
    3 | 32 |      2.430676 |    11.42% | m_32_trial_3.png
    4 | 22 |     36.424410 |     4.98% | m_22_trial_4.png
    4 | 23 |     28.671008 |     5.29% | m_23_trial_4.png
    4 | 24 |     22.976346 |     5.77% | m_24_trial_4.png
    4 | 25 |     18.024429 |     6.28% | m_25_trial_4.png
