7.38, 0.12
7.40, 26.10
7.42, 52.08
7.41, 78.02
7.41, 103.96
7.37, 129.94
7.34, 155.92
7.31, 181.90
7.28, 207.88
7.25, 233.86
7.21, 259.84
7.18, 285.82
29.89, 13.10
29.91, 39.08
29.93, 65.06
29.92, 91.00
29.89, 116.98
29.86, 142.96
29.83, 168.94
29.79, 194.92
29.76, 220.90
29.73, 246.88
29.70, 272.86
29.67, 298.84
52.38, 0.09
52.40, 26.07
52.42, 52.05
52.44, 78.03
52.40, 104.01
52.37, 129.99
52.34, 155.97
52.31, 181.96
52.28, 207.94
52.25, 233.92
52.22, 259.90
52.18, 285.88
74.89, 13.06
74.91, 39.04
74.93, 65.03
74.92, 91.05
74.89, 117.03
74.85, 143.01
74.82, 168.99
74.79, 194.97
74.73, 246.94
74.70, 272.92
74.66, 298.90
97.35, 0.00
97.35, 25.96
97.40, 104.07
97.37, 130.05
97.34, 156.03
97.19, 260.00
97.16, 285.98
119.86, 12.97
119.85, 38.95
119.81, 143.15
119.78, 169.12
119.67, 273.02
119.64, 298.99
142.37, 0.00
142.35, 25.97
142.23, 104.00
142.21, 129.98
142.18, 155.96
142.16, 286.03
164.81, 13.09
164.79, 39.07
164.77, 65.05
164.74, 91.03
164.72, 117.01
164.70, 142.99
164.67, 168.97
164.65, 273.02
164.67, 299.00
187.33, 0.12
187.30, 26.10
187.28, 52.08
187.25, 78.06
187.23, 104.04
187.21, 130.02
187.18, 156.00
187.16, 181.98
187.13, 260.01
187.16, 285.99
209.81, 13.13
209.79, 39.11
209.76, 65.09
209.74, 91.07
209.72, 117.05
209.69, 143.03
209.67, 169.01
209.65, 194.99
209.62, 247.00
209.65, 272.98
209.67, 298.96
232.33, 0.16
232.30, 26.14
232.28, 52.12
232.25, 78.10
232.23, 104.08
232.21, 130.06
232.18, 156.04
232.16, 182.02
232.13, 208.00
232.11, 233.99
232.13, 259.97
232.16, 285.95
254.81, 13.17
254.79, 39.15
254.77, 65.13
254.74, 91.11
254.72, 117.09
254.69, 143.07
254.67, 169.05
254.65, 195.03
254.62, 221.02
254.61, 246.98
254.63, 272.96
254.65, 298.94
277.32, 0.20
277.30, 26.18
277.28, 52.16
277.25, 78.14
277.23, 104.12
277.21, 130.10
277.18, 156.08
277.16, 182.06
277.13, 208.04
277.12, 234.01
277.12, 259.95
277.14, 285.93
144.00, 78.15
96.83, 51.00
73.00, 221.01
119.00, 124.00
142.49, 50.00
95.76, 179.00
140.32, 264.00
90.65, 79.00
139.02, 173.11
