15, 40
15, 66
15, 92
15, 118
15, 144
15, 170
37, 30
37, 55
37, 81
37, 107
37, 133
37, 159
37, 185
60, 40
60, 66
60, 92
60, 118
60, 170
60, 222
60, 248
60, 274
82, 30
82, 55
82, 81
82, 107
82, 133
82, 159
82, 185
82, 211
82, 237
82, 263
105, 170
105, 222
105, 248
105, 274
127, 30
127, 55
127, 81
127, 107
127, 133
127, 159
127, 185
127, 211
127, 237
127, 263
150, 40
150, 66
150, 92
150, 118
150, 144
150, 170
150, 222
150, 248
150, 274
172, 30
172, 55
172, 81
172, 107
172, 133
172, 159
172, 185
172, 211
172, 237
172, 263
195, 222
195, 248
195, 274
217, 211
217, 237
217, 263
240, 222
240, 248
240, 274
