QGC WPL 110
0	0	3	16	0	1	0	0	4.00000000000000033e-05	0	0	1
1	0	3	22	0	1	0	0	4.00000000000000033e-05	0	5	1
2	0	3	16	0	1	0	0	4.00000000000000033e-05	1.00000000000000008e-05	5	1
3	0	3	16	0	1	0	0	3.00000000000000008e-05	2.00000000000000016e-05	5	1
4	0	3	16	0	1	0	0	2.00000000000000016e-05	2.00000000000000016e-05	5	1
5	0	3	16	0	1	0	0	3.00000000000000008e-05	3.00000000000000008e-05	5	1
6	0	3	16	0	1	0	0	2.00000000000000016e-05	3.00000000000000008e-05	5	1
7	0	3	16	0	1	0	0	1.00000000000000008e-05	3.00000000000000008e-05	5	1
8	0	3	16	0	1	0	0	1.00000000000000008e-05	2.00000000000000016e-05	5	1
9	0	3	16	0	1	0	0	1.00000000000000008e-05	1.00000000000000008e-05	5	1
10	0	3	16	0	1	0	0	2.00000000000000016e-05	1.00000000000000008e-05	5	1
11	0	3	16	0	1	0	0	3.00000000000000008e-05	1.00000000000000008e-05	5	1
12	0	3	16	0	1	0	0	4.00000000000000033e-05	2.00000000000000016e-05	5	1
13	0	3	16	0	1	0	0	4.00000000000000033e-05	3.00000000000000008e-05	5	1
14	0	3	16	0	1	0	0	4.00000000000000033e-05	4.00000000000000033e-05	5	1
15	0	3	16	0	1	0	0	3.00000000000000008e-05	4.00000000000000033e-05	5	1
16	0	3	16	0	1	0	0	2.00000000000000016e-05	4.00000000000000033e-05	5	1
17	0	3	16	0	1	0	0	1.00000000000000008e-05	4.00000000000000033e-05	5	1
18	0	3	16	0	1	0	0	0	4.00000000000000033e-05	5	1
19	0	3	16	0	1	0	0	0	3.00000000000000008e-05	5	1
20	0	3	16	0	1	0	0	0	2.00000000000000016e-05	5	1
21	0	3	16	0	1	0	0	0	1.00000000000000008e-05	5	1
22	0	3	16	0	1	0	0	0	0	5	1
23	0	3	16	0	1	0	0	1.00000000000000008e-05	0	5	1
24	0	3	16	0	1	0	0	2.00000000000000016e-05	0	5	1
25	0	3	16	0	1	0	0	3.00000000000000008e-05	0	5	1
26	0	3	16	0	1	0	0	4.00000000000000033e-05	0	5	1
27	0	3	21	0	1	0	0	4.00000000000000033e-05	0	0	1
